unique_id,mass,x_pos,y_pos,z_pos,vel_x,vel_y,vel_z,frame,dt
31,1.7128307702798794e+30,821315213133.0005,924962655034.9478,431080649954.62775,156183.0289802591,252897.37812006785,266656.62912286783,0,10000
32,1.946173349294171e+30,457372120546.9819,933753267167.9617,526728578546.5334,309662.96121232345,183881.93234639644,201804.89123060717,0,10000
33,1.8994343752281883e+30,803664699248.7633,900724699114.6804,516411991602.2949,246521.01175238073,250815.89135138522,154126.614633343,0,10000
34,2.1230666663899666e+30,956908711666.5463,661934972437.0438,742198111452.0157,346017.854710377,188834.29722559155,300634.6113574215,0,10000
35,2.266370796912977e+30,644973766071.6176,854245198609.5236,870465053216.6177,220736.61760736603,230161.26267930897,287392.7180279145,0,10000
36,1.687573034351687e+30,800621783535.233,645965551219.9501,659166199347.8474,284681.05363122415,233217.04216698563,296095.70804743737,0,10000
37,2.1257303792993804e+30,789274086932.4265,439940589238.4853,898953499517.885,230201.94956492737,332377.3609175161,254733.41125954266,0,10000
38,1.8597524970580695e+30,740582076698.0143,618526701947.8523,865367995456.001,196349.2523655996,268844.38782767014,265972.2986453334,0,10000
39,2.1039222598142603e+30,688088215592.5837,832071562105.7723,888528567954.3191,235690.17409378206,241455.37578725695,240595.81882811958,0,10000
40,2.0087014527486914e+30,973366470350.57,741046222698.021,682679783114.1846,288644.3080443144,280241.6254489413,302706.5967299429,0,10000
41,2.1320320457147786e+30,927642321151.5057,733363825741.3977,510193588315.5753,267950.71496043634,255261.5119345899,146595.05493331776,0,10000
42,1.8237272068093458e+30,435162801202.8953,813983523804.977,729542654889.6409,170427.00780949328,326877.38002342655,228231.5081038142,0,10000
43,2.1846448746719844e+30,727950972047.2194,600745758583.0856,680610035476.8798,267810.74172526953,230115.84018139224,314257.06039530266,0,10000
44,2.0377871021502278e+30,932065932924.5635,817286179268.964,779543841509.6193,177613.09048943387,314196.2006179665,330662.38736902946,0,10000
45,1.998986525239271e+30,650695961567.4064,967188006498.0153,410185744095.8886,256196.26258078957,130456.59437789697,270310.4335433921,0,10000
46,1.9974460189996926e+30,847364349328.1018,596604586023.2892,634772417453.2914,186882.74137800693,219854.50407135865,194173.84198080582,0,10000
47,2.1636790402370174e+30,805402961966.724,969620820684.3496,730835448698.4861,176747.5807695636,277121.15609424404,228075.29694453508,0,10000
48,1.941001544587835e+30,811335107841.131,770749525841.9586,641318756765.4403,278708.0826616746,383518.3347095558,272946.84442556865,0,10000
49,1.6979310643829645e+30,843175474243.0123,957621503827.6246,520913264819.4501,296821.02116281696,247945.30488319436,318616.0372343979,0,10000
50,1.6744748777192586e+30,654522064347.5399,735682471655.8171,960561146729.9092,240409.7400562387,274464.4222045531,198604.723618034,0,10000
51,2.1053276914114282e+30,604248328146.241,541807433201.46295,769719719505.2249,160875.06208365536,309933.8796833265,188725.24635546704,0,10000
52,2.2578208437472535e+30,706613795399.6283,664598602401.841,760601683357.6233,242036.7826127779,212641.94584498493,302875.45435876556,0,10000
53,2.2779122803252064e+30,725730614183.0118,493699324156.3424,931069272410.3557,246683.21290299142,376975.2243625647,150788.61834904624,0,10000
54,1.9488657972578583e+30,696993115751.408,674495088933.939,965727800936.5948,284854.49553759175,254322.6055291379,255571.5803776439,0,10000
55,2.0422962612769373e+30,534654905775.94495,792682932744.1145,852210666782.7649,263270.6211002164,379401.6645685247,309060.95000409125,0,10000
56,1.654260319538274e+30,478889004279.4961,838155330451.8484,780585720220.9786,226035.82925692335,170529.44765279588,323822.6642170346,0,10000
57,2.142716803770098e+30,737663529099.1005,469589043511.6729,689247615694.9037,258353.10218644078,238968.94869574325,260229.3219268106,0,10000
58,1.9856683008912064e+30,403912482074.2566,817416948626.064,609145762377.0468,206866.18256272192,165203.32121047465,299140.16463002923,0,10000
59,2.0074135305126082e+30,885644798903.6549,704863526532.3857,560334104711.7583,317525.73840626,273446.86594167096,216701.90109786368,0,10000
60,1.8164986852153708e+30,913385948635.7991,676548251919.7532,862246273952.7402,265147.7730794824,199726.0834347652,231704.68962227853,0,10000
61,2.0578678842704343e+30,839250640710.8505,704429071837.3546,652797423029.8752,289036.4485572159,233859.64238013115,207560.9707677915,0,10000
62,2.4149595327238337e+30,986530142514.816,444038576214.3384,648526976719.5831,179260.7047051701,253849.79881578608,282633.497659156,0,10000
63,1.8917193308490845e+30,688715087968.32,744109150261.0845,618236388641.9696,159190.74827552747,253089.11359344702,280494.1547999534,0,10000
64,1.9822078692838136e+30,699896071957.9067,578169786767.1685,680309954922.0078,223981.29164359628,332904.16894464253,281440.4614810351,0,10000
65,2.0669270855254325e+30,832272123573.3899,572371239240.4581,658697087336.6202,205934.05811961944,207760.32097353943,299042.3397353758,0,10000
66,2.2824733098165878e+30,917726526723.8322,572603667869.1227,460588586369.55176,243012.96972710727,233451.0366461922,155678.1810906096,0,10000
67,2.2287500108457416e+30,732573659554.0038,620654036166.7722,879592521201.1217,270548.05246275495,255843.14570735028,262159.1757865026,0,10000
68,2.151462794994583e+30,764512396918.0122,745323525377.1371,953504836501.936,186931.20586759134,402564.19109710964,258318.7123696723,0,10000
69,1.66533387887548e+30,625752063968.2898,788933078917.7859,600198061157.8628,208813.2559017037,319627.30160954257,263194.2318749992,0,10000
70,1.8895172820723654e+30,1072973792107.0863,939306164834.5723,598695489329.2952,234804.77906100024,234771.71832491626,271479.54804976255,0,10000
71,1.8484564321319524e+30,723958660516.5195,941191804548.1913,529193116011.37585,179028.01026512202,258374.83941645306,285173.99198666215,0,10000
72,1.9886452684568474e+30,967576329593.1724,1065024128788.649,888635126508.7483,166703.18451870396,317373.34603297745,274953.7454591041,0,10000
73,2.08342757169593e+30,893621359457.407,787986118878.2272,709195248690.924,183484.4996373861,228519.73392182682,167508.41727187517,0,10000
74,2.2237264158066582e+30,610243645122.31,815674346895.7031,852283556854.0948,265314.46874066454,210720.60963350753,285413.98984119884,0,10000
75,1.971490646405565e+30,905505687784.1786,852183204968.421,694931446417.9316,277639.57652117364,147647.86088401743,252551.87465930698,0,10000
76,1.980568590831071e+30,894245170329.4896,756952190860.779,605276814112.0098,185907.40475840162,260887.1785167058,283124.6429555442,0,10000
77,1.8043442481764613e+30,803141049986.656,648208872075.901,880534033754.506,238097.82837724584,194085.92316166297,228811.38684402377,0,10000
78,1.9093591983410004e+30,727210301238.4375,863063917923.7521,738482382622.3726,290329.93766302796,208529.61801438135,234097.07480581457,0,10000
79,1.7379183602718377e+30,489824455021.3141,842754960157.4976,653468639237.4089,188488.82287339857,262341.05412142153,156005.36933214453,0,10000
80,1.994444620117874e+30,888617166140.8618,799250270686.6676,791539654684.7922,238025.54554234367,165902.41566081173,227785.3182122226,0,10000
81,1.8292516453247962e+30,745406796262.0867,778488104683.8613,805281521405.671,288737.84789561864,253908.9072510124,306478.3427470346,0,10000
82,2.0416241023218545e+30,859248016285.9492,978320838572.7997,749746855302.1702,263155.7537418288,205469.5107927841,188945.244494527,0,10000
83,2.060734113600274e+30,898626201291.9736,843074514002.2281,799722337154.3734,293910.52520037873,234722.22519652726,250741.3887289144,0,10000
84,1.9050743852151314e+30,899724940743.3104,499979498332.151,884995919435.1777,288920.3941556898,166897.95373425307,219941.83008294052,0,10000
85,1.940344464082351e+30,778979652378.1726,738367927078.2277,570571814223.8698,278537.96302782703,231170.4852836305,285649.3133531929,0,10000
86,1.9525034213798445e+30,679970944785.7537,980962004325.5032,889517320335.2538,336464.35882730904,199163.21975270557,280552.7957010587,0,10000
87,1.5810684811046102e+30,690766149739.3849,799421859587.4196,910630307168.6888,280583.9610387508,285639.3338796031,232907.7960017619,0,10000
88,1.6704410987999367e+30,488915192544.2052,831310713070.0768,816411298781.509,188401.04175814654,272293.5547867912,188623.21435722936,0,10000
89,1.9509790570629383e+30,690913148479.6654,613800800440.64,776477253496.0184,198359.54008511064,212078.5721106458,295736.0081764052,0,10000
90,1.8815929970089833e+30,658434762401.2736,821502370987.1013,749924191799.7571,154563.03447113215,321943.8396253096,297241.993641954,0,10000
91,2.0346716632412682e+30,566637583644.9475,893253286248.7982,733671329348.4644,219731.14998119857,380440.9066220222,223795.15561248557,0,10000
92,1.858340100549869e+30,901548347466.0549,727595013953.4,1058959423915.4443,429241.56213813554,270594.92869888345,233547.975346446,0,10000
93,2.0660744740511874e+30,783416106706.9058,316101985870.5768,841803084789.811,227625.8007186785,265598.8595808388,194740.96598236475,0,10000
94,2.0464307745019626e+30,849753066880.7899,825534811805.4736,709787528293.4679,259308.50029446982,237639.6209302215,218165.6444700801,0,10000
95,1.906050079778854e+30,754716032405.1545,685997408978.589,775793821575.0519,199939.66929114485,327236.7134922311,275305.1296265471,0,10000
96,1.9213841589225692e+30,662716964493.6606,711307490885.0596,717554810350.1824,229166.24758125964,195309.98274898255,236295.31683759956,0,10000
97,1.8066428856354826e+30,520737742149.0059,770983093898.6616,699839963667.5071,191609.94381460213,241985.74342967616,250755.11171733032,0,10000
98,2.2857563417873293e+30,555592729782.183,657286608254.6476,644391138883.5991,284246.0527654597,217063.99995144442,260889.4584877984,0,10000
99,2.226794094180367e+30,878647502079.9326,821669647862.7217,742419613514.3922,293820.44203663815,223895.19393900366,264836.0695576491,0,10000
0,2.1963885092562078e+30,1085678430792.921,654562626821.4177,591087105213.4585,254490.26317402185,227083.73751397856,201099.84999459903,1,10000
1,2.1600746070128388e+30,641904937149.171,812602001081.3564,883403620847.6554,276083.0556249574,293333.5629591543,236793.63521302867,1,10000
2,1.8555588529910756e+30,834348646323.4979,626671789680.0432,735118243265.714,270402.82342775597,228515.25550189192,213062.02784095626,1,10000
3,2.029109032925912e+30,672387937298.8209,813114404702.8512,541829177475.22015,277277.64711234695,248158.01613411077,257862.23078459196,1,10000
4,2.1576272433125491e+30,696977655953.0135,734575690560.9138,700593223555.1072,120989.46624218515,256592.4618756681,279485.1368855875,1,10000
5,2.208387821799833e+30,698024683576.1971,756253688861.6921,572967088932.4463,214432.84254124522,374067.4381555765,234285.48736898293,1,10000
