unique_id,mass,x_pos,y_pos,z_pos,vel_x,vel_y,vel_z,frame,dt
12,1.168478608517579e+27,883464484718.3711,1042140108249.2937,775938855180.4613,188336.38640409402,266006.8529767386,262098.17739492102,0,10000
13,3.15703939641112e+27,885727313744.7012,671974129053.3102,770188583880.6105,181429.35330417537,349965.4526420058,226350.81520013482,0,10000
14,2.0023691283876632e+27,962608919778.0817,560317897313.2439,729542494210.8552,182415.5635184692,153813.5131508923,272136.8730749007,0,10000
15,3.814688138532495e+28,823384070209.5475,653697530286.4979,920206859368.1947,274028.88520266727,238083.94068878551,149312.29798096826,0,10000
16,1.0166832486261556e+29,873907002797.8608,648698152480.8778,651887367209.6366,284136.3918436503,197733.1360943712,268336.5622632536,0,10000
17,7.958082257702984e+29,821695004284.3583,656181320099.5665,592407084250.842,343626.089188077,202101.94834634577,213621.6092036282,0,10000
18,8.837604395673788e+29,1011548868166.3887,899752276070.9587,807491261374.2881,258799.8878765491,212777.97476909606,278041.5807693701,0,10000
19,7.035517439357949e+28,547455093857.8596,801314548341.5258,878050045983.5377,296254.42382524017,232512.6287682765,194826.8924814586,0,10000
20,2.0778938644058387e+24,768802213729.1466,504410894464.38446,1024349637781.0968,266628.78023592295,240493.0604052881,155579.9606033957,0,10000
21,9.763192137929595e+29,505967430722.2843,405596508599.63116,519843068893.432,320829.7068656281,297401.5746017933,358975.1628913889,0,10000
22,7.527846424835972e+29,919393949641.475,623585021789.2251,816130372169.4875,188273.02617197597,301706.68342476495,235234.36646797354,0,10000
23,1.1687652686457385e+29,725373094860.7516,989880028335.3485,1029933009057.6948,185329.06865237016,283042.6379141484,212993.64943787619,0,10000
24,6.403136487029289e+28,1000785288076.1235,732530741547.0778,951025280402.8813,214759.26871960788,295370.8869336024,251909.05003407432,0,10000
25,9.272655586665027e+29,809774687235.1812,509830392958.18,756878222448.5972,205389.18747815708,215877.92503459495,250708.10646274214,0,10000
26,3.757127072952408e+26,845547144549.7902,754415044385.5583,740486911579.5845,279090.6533293218,260053.76736494212,323815.6979753656,0,10000
27,6.657001902738885e+29,605658280225.5808,790589335542.6166,924732377527.8789,302579.40466252697,259685.96806650027,326225.67038307124,0,10000
28,4.36895154028035e+29,660879493313.7593,500129915527.7676,537798042262.0379,208581.23990604084,248317.35387075922,239775.37552351257,0,10000
29,5.9135960570734835e+29,897634914142.0249,740871775344.7792,704425258961.3141,226237.19463058273,271351.38441526616,219608.5363434763,0,10000
30,1.514478523682627e+29,940781417183.912,675428169343.9348,752047402835.6472,245522.77905543052,227365.06219701195,383603.3008080628,0,10000
31,3.783689472535154e+27,835193415788.1499,714478405870.4624,767311589771.0243,268462.81556795276,196783.3999671232,241533.40508182452,0,10000
32,3.140422759362241e+26,671133249291.5216,550935652215.0962,937853263459.0286,210845.1349476261,225505.81209273174,368799.0715245966,0,10000
33,8.022115926542723e+28,703949738435.0438,759138675793.3168,767804692248.8978,285966.31792030274,143197.9393490389,275806.5061875406,0,10000
34,1.1310133833351519e+26,814725011184.7445,812840313382.9567,658125311060.851,213237.4906646265,229406.2804593509,271337.06860301393,0,10000
35,6.51342341141028e+29,671218679130.3175,794464034550.9471,808665684928.32,256890.2762055114,224472.46427591515,283072.52141865774,0,10000
36,6.820071069605755e+27,768290528334.0569,1026251586727.5481,595989256354.3049,184117.9698042157,308623.90560963465,243921.809058957,0,10000
37,9.726279943471987e+29,684689003160.5803,731636836952.7893,563280686386.1573,238753.13605356522,177404.2484176151,224717.96007883977,0,10000
